,cik
0,1122304
1,851968
2,47111
3,79879
4,1032208
5,1038357
6,1099800
7,40987
8,718877
9,4127
10,1300514
11,1564708
12,106535
13,20520
14,49196
15,1792044
16,1681459
17,51253
18,6201
19,1278021
20,92230
21,1091667
22,79958
23,59478
24,34903
25,1374310
26,1103982
27,1013871
28,47217
29,1048695
30,1140859
31,1022079
32,1065088
33,1519751
34,759944
35,6281
36,921738
37,100493
38,872589
39,106640
40,891024
41,882835
42,811156
43,895126
44,884887
45,1532063
46,24741
47,100517
48,59558
49,1474735
50,1601712
51,78003
52,723125
53,1390777
54,4281
55,1593538
56,886982
57,1306830
58,1413329
59,1585364
60,10456
61,92380
62,874716
63,891103
64,1136869
65,1579241
66,51434
67,1732845
68,1358071
69,1136893
70,217346
71,745732
72,874761
73,63754
74,874766
75,313616
76,764180
77,1403161
78,352541
79,1659166
80,850209
81,1513761
82,1050915
83,842023
84,86312
85,788784
86,1024305
87,723254
88,1065280
89,203077
90,1413447
91,1352010
92,1075531
93,1048911
94,878927
95,16732
96,1419612
97,4447
98,1442145
99,350563
100,14693
101,858470
102,12659
103,1012100
104,1546640
105,1501585
106,936340
107,946581
108,78239
109,33185
110,63908
111,1608109
112,1132979
113,2488
114,51644
115,895421
116,33213
117,65984
118,815556
119,1280452
120,915912
121,915913
122,315852
123,766421
124,1262039
125,823768
126,721371
127,1090012
128,8670
129,1024478
130,74208
131,866787
132,55785
133,350698
134,864749
135,18926
136,1489393
137,879101
138,1841666
139,909832
140,1370637
141,72207
142,936468
143,100885
144,16918
145,1755672
146,1585689
147,1286681
148,789019
149,1452575
150,875045
151,80424
152,64040
153,883241
154,1339947
155,10795
156,1108524
157,76334
158,1135152
159,743988
160,860730
161,860731
162,764478
163,1002047
164,1598014
165,879169
166,1620546
167,313927
168,723531
169,1040971
170,1288784
171,1047122
172,920148
173,21076
174,1170010
175,354908
176,832101
177,813672
178,899689
179,916076
180,717423
181,922224
182,8818
183,731766
184,1004155
185,1071739
186,1274494
187,12927
188,1725057
189,1378946
190,354950
191,72333
192,109198
193,1141391
194,277135
195,1094285
196,352915
197,875159
198,1020569
199,731802
200,877212
201,1393311
