date,vw_ret_d,vw_ret_x,ew_ret_d,ew_ret_x
1/4/16,-0.01519,-0.015417,-0.011915,-0.011994
1/5/16,0.002134,0.002134,0.001891,0.001891
1/6/16,-0.012566,-0.012912,-0.018287,-0.018427
1/7/16,-0.023433,-0.023461,-0.022423,-0.022467
1/8/16,-0.010898,-0.010901,-0.011426,-0.011437
1/11/16,0.001055,0.001055,-0.004062,-0.004062
1/12/16,0.007732,0.007727,0.004798,0.004794
1/13/16,-0.02505,-0.02516,-0.025795,-0.025876
1/14/16,0.016641,0.016622,0.014713,0.014694
1/15/16,-0.021666,-0.021706,-0.019832,-0.019865
1/19/16,0.000584,0.000581,-0.003775,-0.003779
1/20/16,-0.011584,-0.011728,-0.00971,-0.009764
1/21/16,0.0054,0.00537,0.009117,0.009091
1/22/16,0.020313,0.020313,0.020174,0.020174
1/25/16,-0.015346,-0.015354,-0.019801,-0.019828
1/26/16,0.014103,0.014103,0.018964,0.018962
1/27/16,-0.010767,-0.010892,-0.007472,-0.007606
1/28/16,0.005788,0.005698,0.001209,0.000995
1/29/16,0.024522,0.024503,0.028099,0.028053
2/1/16,-0.000353,-0.000382,0.00063,0.000573
2/2/16,-0.018668,-0.018695,-0.022363,-0.022391
2/3/16,0.004892,0.004551,0.010089,0.00995
2/4/16,0.001674,0.001479,0.00605,0.005952
2/5/16,-0.018423,-0.018471,-0.018137,-0.018226
2/8/16,-0.014244,-0.014344,-0.022517,-0.022587
2/9/16,-0.000563,-0.000764,-0.002901,-0.002957
2/10/16,0.000266,-0.00007,0.001178,0.000813
2/11/16,-0.011938,-0.012121,-0.014274,-0.014537
2/12/16,0.019408,0.019302,0.022843,0.022699
2/16/16,0.016836,0.016511,0.021346,0.021246
2/17/16,0.016645,0.016507,0.019631,0.01942
2/18/16,-0.004807,-0.004859,-0.003454,-0.003538
2/19/16,0.000267,0.000127,-0.002053,-0.002101
2/22/16,0.014515,0.014513,0.018816,0.018812
2/23/16,-0.012147,-0.012207,-0.012743,-0.012838
2/24/16,0.004499,0.004449,0.006189,0.006119
2/25/16,0.011663,0.011418,0.011128,0.010962
2/26/16,-0.001762,-0.001878,0.002881,0.002741
2/29/16,-0.008096,-0.008189,-0.007059,-0.007172
3/1/16,0.023751,0.023568,0.022891,0.022636
3/2/16,0.004158,0.003982,0.008148,0.00794
3/3/16,0.003601,0.003493,0.01002,0.009842
3/4/16,0.003277,0.003108,0.005441,0.004997
3/7/16,0.000897,0.00083,0.004844,0.00468
3/8/16,-0.010939,-0.011132,-0.017209,-0.017401
